"JuhtumId","ToimKpv","ToimKell","ToimNadalapaev","ToimLoppKpv","ToimLoppKell","SyndmusLiik","SyndmusTaiendavStatLiik","SissetungimiseLiik","Valve","Seadus","Paragrahv","ParagrahvTais","Loige","Punkt","RikutudOigusnorm","Kahjusumma","KohtLiik","MaakondNimetus","ValdLinnNimetus","KohtNimetus","Lest_X_1","Lest_X_2","Lest_Y_1","Lest_Y_2","SoidukLiik","SoidukMark","SoidukVlAasta","SyyteoLiik","L-EST","Coord_X","Coord_Y"
"707ea1ea-b5b9-18d5-9984-b441753e444c","2018-04-28","16:00","Laupäev  ","2018-04-28","22:00","VARGUS","MUU_VARGUS","VABA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 1.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","737500","737999","","",NA,"KT","6589749.5,737749.5",59.37895777,28.18527646
"707ea014-b5b9-18d5-9984-b441753e444c","2018-04-21","15:21","Laupäev  ","2018-04-22","","VARGUS","MUU_VARGUS","VABA","VALVUR,VIDEOVALVE","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 1.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","736500","736999","","",NA,"KT","6589249.5,736749.5",59.37503676,28.16717198
"6eb11246-ab53-18d5-9984-b441753e444c","2018-04-20","17:00","Reede     ","2018-04-22","11:15","VARGUS","MUU_VARGUS","VALEVOTMEGA","VALVUR","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 1.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","738000","738499","","",NA,"KT","6590249.5,738249.5",59.38315706,28.19460512
"6eb10ee0-ab53-18d5-9984-b441753e444c","2018-04-20","05:00","Reede     ","","","MUU","MUU_VALDUS","","","Karistusseadustik","§ 201.","§ 201. Omastamine","lg. 1.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590500","6590999","737000","737499","","",NA,"KT","6590749.5,737249.5",59.38819636,28.17759231
"6eb10a6c-ab53-18d5-9984-b441753e444c","2018-04-17","06:15","Teisipäev","","","VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","737000","737499","","",NA,"VT","6590249.5,737249.5",59.38371686,28.17704476
"f218a51c-7f53-18d5-8a40-b9bad19c5fb4","2018-02-16","07:30","Reede     ","2018-02-16","16:00","MUU","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588500","6588999","738500","738999","","",NA,"VT","6588749.5,738749.5",59.36943803,28.20173299
"6488f760-c152-18d5-9a49-ba89321d728b","2018-02-08","17:00","Neljapäev","","","MUU","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 209 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590500","6590999","736500","736999","","",NA,"VT","6590749.5,736749.5",59.38847542,28.16881077
"c90e8f4a-694d-18d5-a879-d48d5d68f5ce","2018-01-25","17:00","Neljapäev","2018-01-25","19:00","MUU","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","736500","736999","","",NA,"VT","6589249.5,736749.5",59.37503676,28.16717198
"0c314c56-64a6-18d5-a879-d48d5d68f5ce","2018-01-13","14:30","Laupäev  ","","","MOOTORSOIDUKI_VARGUS","SOIDUAUTO_OMAVOLILINE_KASUTAMINE","VABA","ILMA_VALVETA","Karistusseadustik","§ 215.","§ 215. Asja omavoliline kasutamine","lg. 1.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","736000","736499","","",NA,"KT","6590249.5,736249.5",59.3842743,28.15948382
"4153748a-5e85-18d5-87e0-a39644e84ce3","2018-01-12","15:00","Reede     ","2018-01-12","16:00","MUU","MUU_VALDUS","","","Karistusseadustik","§ 201.","§ 201. Omastamine","lg. 2.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","737500","737999","","",NA,"KT","6590249.5,737749.5",59.38343725,28.18582501
"41537322-5e85-18d5-87e0-a39644e84ce3","2018-01-11","03:00","Neljapäev","2018-01-12","20:00","VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","737000","737499","","",NA,"VT","6589749.5,737249.5",59.37923734,28.17649735
"41537110-5e85-18d5-87e0-a39644e84ce3","2018-01-10","20:00","Kolmapäev","","","ROOVIMINE","MUU_ROOVIMINE","VABA","ILMA_VALVETA","Karistusseadustik","§ 200.","§ 200. Röövimine","lg. 2.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","737500","737999","","",NA,"KT","6589249.5,737749.5",59.37447828,28.18472805
"c8b267f8-58f2-18d5-87e0-a39644e84ce3","2018-01-09","14:00","Teisipäev","","","VARGUS","","VABA","ILMA_VALVETA","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 199 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","738000","738499","","",NA,"VT","6589249.5,738249.5",59.37419816,28.19350587
